ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
15095;01/01/2019;0;4.818;9.389;0.589;3.086
15095;02/01/2019;0.893;6.779;9.094;0.686;2.5
15095;03/01/2019;5.369;6.715;8.353;0.766;1.477
15095;04/01/2019;1.379;8.565;9.06;0.25;0.808
15095;05/01/2019;2.696;9.134;10.567;0.948;2.303
15095;06/01/2019;4.196;8.373;11.309;0.578;1.343
15095;07/01/2019;0.852;6.057;7.91;0.566;2.362
15095;08/01/2019;0.854;4.035;9.527;0.418;1.24
15095;09/01/2019;0;4.311;8.64;1.038;4.745
15095;10/01/2019;7.577;4.78;11.832;0.347;2.195
15095;11/01/2019;0.178;3.533;5.44;0.36;4.291
15095;12/01/2019;1.205;0.224;3.586;0.647;1.105
15095;13/01/2019;0;0.084;3.21;0.301;3.929
15095;14/01/2019;0;-2.072;3.7;0.111;6.957
15095;15/01/2019;0;-3.266;1.477;0.052;6.747
15095;16/01/2019;0;-3.829;0.096;0.172;3.462
15095;17/01/2019;0.123;1.362;3.499;0.212;1.179
15095;18/01/2019;0.578;3.4;8.475;0.336;1.253
15095;19/01/2019;0.443;3.115;6.746;0.568;2.384
15095;20/01/2019;2.321;1.074;7.763;0.41;2.822
15095;21/01/2019;0;0.82;5.329;0.402;6.704
15095;22/01/2019;8.248;3.668;7.705;0.33;1.155
15095;23/01/2019;12.414;7.267;11.102;0.354;0.617
15095;24/01/2019;14.159;9.729;11.17;0.27;0.656
15095;25/01/2019;8.483;6.786;8.951;0.51;0.977
15095;26/01/2019;0.565;2.494;5.748;0.531;3.494
15095;27/01/2019;2.908;1.887;7.954;0.314;1.798
15095;28/01/2019;1.72;5.03;12.235;0.706;2.871
15095;29/01/2019;15.151;7.181;8.504;0.345;1.25
15095;30/01/2019;0;4.034;6.23;0.386;4.941
15095;31/01/2019;0;0.423;5.127;0.456;6.599
15095;01/02/2019;0;-2.068;3.239;0.316;7.3
15095;02/02/2019;0;-2.842;5.593;0.246;9.558
15095;03/02/2019;0;-1.427;4.081;0.731;3.84
15095;04/02/2019;0.641;-0.424;8.047;0.547;4.573
15095;05/02/2019;0;-0.306;5.539;0.279;6.722
15095;06/02/2019;1.841;0.369;5.901;0.558;3.378
15095;07/02/2019;4.709;5.569;11.051;0.322;5.287
15095;08/02/2019;1.776;5.318;8.031;0.551;1.138
15095;09/02/2019;1.94;2.864;8.657;0.958;2.831
15095;10/02/2019;0.147;1.959;4.848;0.444;2.615
15095;11/02/2019;0;4.215;7.974;0.511;3.814
15095;12/02/2019;0;3.872;9.3;0.559;6.758
15095;13/02/2019;2.473;5.024;13.264;0.698;9.166
15095;14/02/2019;0.138;3.687;8.434;0.871;7.585
15095;15/02/2019;0;0.475;6.745;0.557;10.645
15095;16/02/2019;0;0.728;6.869;0.664;10.552
15095;17/02/2019;6.323;2.629;8.131;0.518;1.897
15095;18/02/2019;0;2.404;7.55;1.026;10.446
15095;19/02/2019;1.087;-0.13;7.98;0.386;1.955
15095;20/02/2019;0.816;5.19;11.77;0.652;4.911
15095;21/02/2019;1.189;5.051;8.913;1.432;6.847
15095;22/02/2019;0.857;4.061;8.313;1.144;7.028
15095;23/02/2019;0.306;3.308;8.331;0.829;5.625
15095;24/02/2019;0.796;3.306;6.296;0.637;2.565
15095;25/02/2019;0;6.2;13.311;0.936;6.773
15095;26/02/2019;0;7.582;13.168;0.888;6.675
15095;27/02/2019;0;7.985;16.829;1.283;10.215
15095;28/02/2019;0.1;11.863;18.78;3.097;14.107
15095;01/03/2019;2.471;10.962;18.299;2.322;4.477
15095;02/03/2019;2.809;7.863;8.849;1.112;5.088
15095;03/03/2019;5.076;7.063;10.097;1.399;5.732
15095;04/03/2019;3.405;9.043;14.914;0.518;1.731
15095;05/03/2019;8.297;11.556;12.183;0.511;1.801
15095;06/03/2019;0.099;11.151;15.935;1.57;5.062
15095;07/03/2019;2.82;6.85;12.198;0.698;2.276
15095;08/03/2019;2.024;6.112;15.753;0.917;3.18
15095;09/03/2019;5.551;9.111;15.089;0.877;2.16
15095;10/03/2019;5.343;9.622;11.797;0.888;4.578
15095;11/03/2019;0.664;4.858;9.976;0.939;5.195
15095;12/03/2019;1.399;6.071;7.773;1.028;2.983
15095;13/03/2019;9.506;3.788;7.62;1.142;5.654
15095;14/03/2019;2.951;3.014;5.394;0.755;4.834
15095;15/03/2019;0;2.591;7.503;1.413;8.731
15095;16/03/2019;2.084;0.504;11.271;1.503;12.303
15095;17/03/2019;7.179;9.588;12.781;0.835;4.384
15095;18/03/2019;2.21;8.832;11.982;0.899;4.227
